state,avgCoveredCharges,averagePayments
AK,35673,10350
AL,27322,6236
AR,18144,6201
AZ,29350,7579
CA,51386,8854
CO,26759,6898
CT,25183,8657
DC,27751,9403
DE,20112,7749
FL,33745,6637
GA,24387,6805
HI,18938,11031
IA,18419,6487
ID,14835,6498
IL,27959,7539
IN,21278,6732
KS,26705,6702
KY,20351,6623
LA,24816,6590
MA,18441,8312
MD,10230,9658
ME,17574,6954
MI,20030,7634
MN,19272,7460
MO,24240,6823
MS,22262,6502
MT,13632,6619
NC,18944,7213
ND,13773,6686
NE,23094,6933
NH,19999,6803
NJ,56518,7789
NM,21390,8388
NV,44279,7720
NY,29446,9127
OH,22409,6845
OK,22991,6560
OR,17501,7770
PA,32887,7414
RI,25787,8117
SC,27959,7002
SD,19558,7181
TN,20829,6342
TX,32292,6990
UT,16411,6964
VA,20805,6859
VT,14338,8725
WA,24751,7605
WI,18938,7246
WV,16564,6372
WY,21126,8444
