state,avgCoveredCharges,averagePayments
AL,42077,9545
AR,41080,9088
AZ,50434,11437
CA,82284,13731
CO,59995,11431
CT,41910,13862
DC,52371,14132
DE,34615,12354
FL,57492,10124
GA,42017,10961
HI,53922,14040
IA,40106,10382
ID,29418,10809
IL,52822,11935
IN,38218,10511
KS,42513,9976
KY,37813,10699
LA,54680,10839
MA,39953,14837
MD,14649,13869
ME,26246,11654
MI,37770,12145
MN,42124,12187
MO,38898,10114
MS,38916,10400
MT,26944,10801
NC,37046,11415
ND,22440,10175
NE,43270,10864
NH,44894,11860
NJ,65187,12306
NM,44820,10435
NV,73064,11383
NY,36373,14644
OH,41722,11241
OK,43223,10035
OR,34352,11388
PA,52739,11105
RI,37996,13017
SC,48248,10871
SD,37444,16260
TN,42154,10343
TX,55182,10883
UT,24164,11124
VA,43591,11297
VT,29610,15174
WA,54958,12263
WI,41285,11601
WV,25143,9586
WY,41485,13312
