state,avgCoveredCharges,averagePayments
AL,22589,6929
AR,17410,6184
AZ,27101,7204
CA,47223,9528
CO,32221,6795
CT,26620,8868
DC,36489,9534
DE,15381,7500
FL,30298,7037
GA,26226,8183
HI,17668,9262
IA,22459,7319
ID,11002,5977
IL,25018,7625
IN,22176,7282
KS,35498,6965
KY,19626,6757
LA,33356,7290
MA,17038,8221
MD,12643,11936
ME,18284,7158
MI,18995,7935
MN,21701,8654
MO,23882,6875
MS,23260,6316
MT,12967,5800
NC,21486,8647
ND,12879,7084
NE,20141,6700
NH,18535,7407
NJ,48056,7558
NM,23213,8869
NV,37383,6905
NY,30909,9956
OH,23632,7311
OK,23456,6677
OR,20523,8972
PA,37095,8048
RI,29203,8635
SC,25602,7750
SD,23802,7673
TN,25061,6771
TX,34652,8474
UT,17879,9674
VA,24781,7618
VT,17817,10230
WA,23731,8302
WI,23248,8197
WV,13450,6259
