state,avgCoveredCharges,averagePayments
AK,44888,11915
AL,35673,7443
AR,24038,7745
AZ,37773,9588
CA,54654,11520
CO,41793,11161
CT,35514,11430
DC,32742,11775
DE,21242,9680
FL,40189,8505
GA,28741,9127
IA,24129,7894
ID,19911,8006
IL,32635,9195
IN,26339,8316
KS,34028,7655
KY,22876,7975
LA,29562,8239
MA,19676,10196
MD,11607,10946
ME,12779,8098
MI,22449,9316
MN,30618,11083
MO,26217,7847
MS,27211,8227
NC,22881,9162
ND,13379,8003
NE,25740,8227
NH,22911,8354
NJ,67734,9908
NM,25627,7947
NV,79049,10303
NY,36015,12277
OH,30041,8680
OK,28113,8074
OR,26852,11178
PA,42805,9223
RI,26932,9937
SC,32473,9285
SD,25748,9445
TN,30716,8082
TX,37426,8666
UT,22551,9353
VA,27406,8783
WA,30056,8932
WI,28398,9453
WV,19164,7994
