state,avgCoveredCharges,averagePayments
AK,24128,10791
AL,24244,5893
AR,19585,5984
AZ,27395,7229
CA,48729,8696
CO,25346,6612
CT,22205,8065
DC,28864,9037
DE,16742,7474
FL,33576,6347
GA,22183,6412
HI,23436,9352
IA,16050,6064
ID,16524,6483
IL,25731,6879
IN,19830,6291
KS,22493,6338
KY,17934,6263
LA,23889,6196
MA,14686,7667
MD,9727,9167
ME,15404,6810
MI,16425,7142
MN,16939,7101
MO,22459,6369
MS,22633,6078
MT,13747,6573
NC,17495,6811
ND,11948,6481
NE,23783,6549
NH,17630,6656
NJ,51726,7544
NM,20805,7451
NV,42646,7390
NY,24559,8499
OH,18745,6275
OK,21487,6233
OR,18344,7302
PA,29567,6703
RI,20549,7512
SC,28571,6534
SD,19923,6760
TN,20741,5942
TX,30588,6575
UT,16111,6555
VA,19305,6423
VT,14332,8479
WA,21638,7154
WI,18127,6684
WV,14392,6029
WY,19553,8776
