state,avgCoveredCharges,averagePayments
AK,38574,10253
AL,26664,6951
AR,21323,7028
AZ,30598,8104
CA,52262,10172
CO,31298,7439
CT,24295,9612
DC,34866,10781
DE,20080,8720
FL,37133,7488
GA,25510,7498
HI,30946,12448
IA,18269,7082
ID,17039,7810
IL,28601,8101
IN,20744,7300
KS,25881,6914
KY,19880,7246
LA,26802,7334
MA,15868,8932
MD,11307,10641
ME,17771,8537
MI,18470,8356
MN,22931,8272
MO,24152,7228
MS,26321,7263
MT,14472,7188
NC,19339,8154
ND,13587,7585
NE,22812,7424
NH,20430,8584
NJ,58211,8845
NM,22659,8240
NV,45786,8544
NY,33952,11059
OH,22043,7392
OK,25599,7513
OR,18284,8024
PA,33452,7881
RI,26205,9493
SC,30398,7856
SD,29213,8841
TN,22616,6897
TX,34831,7778
UT,16780,7167
VA,20337,7368
VT,15202,11105
WA,24041,8362
WI,21118,8268
WV,18419,7511
WY,24895,9638
