state,avgCoveredCharges,averagePayments
AK,20804,8970
AL,18994,4889
AR,14064,4885
AZ,22949,5738
CA,39980,7146
CO,23218,5563
CT,20093,6843
DC,24276,7618
DE,15925,6255
FL,25508,5155
GA,18066,5393
HI,20717,8848
IA,14064,5086
ID,14982,5561
IL,21268,5793
IN,16028,5254
KS,19272,5037
KY,15106,5206
LA,18676,5133
MA,12625,6629
MD,7643,7204
ME,12630,5606
MI,15249,5957
MN,16186,5965
MO,17951,5186
MS,18350,5115
MT,11692,5226
NC,14669,5810
ND,9591,5537
NE,17632,5536
NH,15205,5750
NJ,45839,6359
NM,19868,5909
NV,33196,5926
NY,23294,7529
OH,17343,5360
OK,16526,5110
OR,15307,5925
PA,24639,5656
RI,18230,6469
SC,21305,5477
SD,15474,5548
TN,17020,5041
TX,25580,5548
UT,13655,5678
VA,16713,5355
VT,11978,7071
WA,19185,6018
WI,16133,5674
WV,12030,5051
WY,16252,7512
