state,avgCoveredCharges,averagePayments
AK,21585,8866
AL,17218,4670
AR,15818,4830
AZ,23419,5950
CA,35878,7039
CO,23474,5632
CT,18463,6672
DC,20334,7460
DE,15814,5907
FL,24594,5130
GA,17154,5277
HI,15969,6893
IA,15354,4947
ID,12286,5011
IL,19956,5858
IN,16937,5107
KS,20835,4898
KY,14170,4959
LA,15539,5075
MA,12727,6341
MD,7729,7295
ME,13844,5282
MI,14010,5838
MN,17303,6086
MO,17531,5193
MS,17864,4971
MT,10324,4937
NC,14717,5673
ND,9711,5197
NE,18005,5448
NH,14583,5200
NJ,41991,6196
NM,17564,6028
NV,30951,5575
NY,21783,7430
OH,17326,5281
OK,16293,4894
OR,13786,5741
PA,26165,5568
RI,16051,6044
SC,20284,5535
SD,23290,6357
TN,17917,4923
TX,22785,5348
UT,12937,5240
VA,16210,5305
VT,13644,6785
WA,18056,5663
WI,15943,5594
WV,11327,4774
WY,15539,7330
