state,avgCoveredCharges,averagePayments
AL,43417,8910
AR,27019,8516
AZ,38154,10170
CA,67232,12858
CO,35074,9758
CT,31445,12084
DC,35992,12374
DE,26029,10214
FL,43420,9235
GA,28680,9118
HI,49187,15956
IA,26085,8796
ID,17961,8801
IL,36058,10065
IN,29758,9213
KS,37728,9493
KY,22659,8904
LA,34635,9750
MA,20256,11884
MD,12326,11614
ME,22618,10005
MI,24719,10517
MN,30468,10768
MO,30605,9107
MS,32545,8959
MT,17613,9112
NC,25278,10884
ND,17918,9160
NE,35881,11516
NH,20805,8704
NJ,68317,11105
NM,28790,11244
NV,93154,12606
NY,41293,13424
OH,27826,9620
OK,36952,9648
OR,29197,11692
PA,41327,9905
RI,40248,11907
SC,36917,9618
SD,38257,10519
TN,30436,8885
TX,40242,9735
UT,32035,9296
VA,29617,9378
VT,16330,13023
WA,32453,10549
WI,29270,11161
WV,22352,8987
WY,32565,11296
