state,avgCoveredCharges,averagePayments
AK,21488,8045
AL,17884,4244
AR,13426,4268
AZ,19510,5038
CA,31715,5899
CO,17395,4616
CT,16524,5755
DC,16887,6134
DE,12808,5168
FL,23739,4525
GA,15510,4644
HI,11452,6240
IA,12859,4392
ID,13558,4538
IL,18250,5012
IN,14762,4465
KS,14864,4180
KY,13654,4398
LA,16470,4439
MA,11898,5640
MD,6722,6345
ME,8585,4720
MI,12749,5033
MN,13713,5069
MO,15457,4509
MS,17651,4240
MT,10398,4662
NC,13258,4913
ND,8336,4458
NE,15608,4799
NH,14525,4515
NJ,35279,5265
NM,15579,5303
NV,29768,5142
NY,19019,6378
OH,14729,4440
OK,15652,4359
OR,12406,5186
PA,23995,4905
RI,16184,5530
SC,16911,4509
SD,12783,4755
TN,15688,4468
TX,21763,4668
UT,10564,5269
VA,14928,4663
VT,10898,6290
WA,16574,5143
WI,14886,4948
WV,10350,4318
WY,14501,5735
