state,avgCoveredCharges,averagePayments
AK,18891,6354
AL,14969,3291
AR,11787,3218
AZ,19548,3837
CA,28981,4742
CO,17574,3709
CT,13775,4433
DC,16270,5309
DE,12721,4137
FL,21396,3578
GA,15911,3607
HI,14657,5256
IA,11577,3347
ID,11233,3601
IL,16928,4015
IN,13041,3590
KS,18333,3366
KY,12630,3521
LA,14727,3579
MA,9185,4239
MD,5639,5353
ME,9936,3564
MI,11866,3947
MN,13508,4078
MO,14567,3527
MS,17346,3373
MT,10248,3776
NC,12542,3788
ND,8637,3862
NE,14499,4124
NH,14779,3885
NJ,32970,4276
NM,15555,4089
NV,29545,3985
NY,14157,5139
OH,13576,3608
OK,12122,3337
OR,11275,4196
PA,21791,3879
RI,16579,4466
SC,17205,3548
SD,12898,3930
TN,14776,3353
TX,21186,3679
UT,11233,3939
VA,13309,3508
VT,11164,4889
WA,17037,4013
WI,12509,3821
WV,10553,3462
WY,12455,4843
