state,avgCoveredCharges,averagePayments
AK,18166,7689
AL,16603,4179
AR,14647,4171
AZ,18739,5114
CA,34477,5838
CO,18020,4599
CT,16163,5689
DC,17252,6030
DE,12046,5166
FL,24049,4447
GA,16155,4495
HI,16114,6172
IA,12176,4314
ID,11942,4568
IL,17950,4908
IN,13716,4408
KS,16144,4432
KY,13217,4395
LA,16578,4361
MA,10334,5319
MD,6437,6076
ME,11834,4679
MI,11947,4951
MN,12348,4896
MO,15701,4447
MS,16650,4315
MT,10300,4638
NC,13441,4784
ND,8912,4702
NE,16735,4700
NH,13228,4783
NJ,37623,5339
NM,14600,5393
NV,32047,5210
NY,17401,5941
OH,13590,4407
OK,15517,4406
OR,13443,4959
PA,21186,4668
RI,15047,5213
SC,19190,4561
SD,13201,4874
TN,15203,4222
TX,21702,4627
UT,12231,4560
VA,14202,4467
VT,9851,6123
WA,15579,5032
WI,13772,4784
WV,9911,4263
WY,14936,6258
