state,avgCoveredCharges,averagePayments
AK,38355,12093
AL,27350,6691
AR,18643,6646
AZ,32022,7903
CA,55669,9837
CO,33030,7105
CT,29179,9446
DC,36913,10567
DE,21224,8304
FL,36877,7181
GA,25991,7265
HI,29471,11173
IA,20141,7017
ID,17447,7164
IL,32014,8101
IN,23601,7224
KS,29537,7024
KY,25337,7502
LA,26393,7158
MA,21398,9714
MD,10720,10102
ME,17191,7621
MI,20410,8126
MN,24316,8197
MO,25604,7175
MS,25590,6889
MT,16517,7156
NC,21044,7833
ND,15447,7495
NE,25437,7381
NH,22352,8033
NJ,58890,8702
NM,27688,8166
NV,46749,8018
NY,33214,10434
OH,25438,7404
OK,24876,7097
OR,21192,8156
PA,36649,7863
RI,25466,8829
SC,28774,7460
SD,21591,8164
TN,25624,6993
TX,36171,7674
UT,20658,7526
VA,23909,7314
VT,18483,9932
WA,27759,8157
WI,23074,7743
WV,17560,7265
WY,21980,9458
