state,avgCoveredCharges,averagePayments
AK,49021,12003
AL,34203,7582
AR,23064,7571
AZ,35287,8846
CA,64758,11179
CO,34853,8428
CT,28498,10512
DC,37492,12399
DE,23660,9510
FL,40764,8129
GA,28786,8091
HI,37497,10643
IA,24601,7871
ID,19618,8824
IL,34142,8680
IN,24837,8083
KS,32652,8167
KY,20882,8036
LA,29813,7985
MA,18051,9910
MD,15122,14234
ME,21838,8951
MI,22359,8891
MN,27560,9413
MO,28250,8058
MS,30306,8087
MT,19942,8328
NC,21562,8579
ND,17345,8225
NE,33262,8399
NH,27759,8824
NJ,70978,9692
NM,35405,9428
NV,63980,9032
NY,32228,10299
OH,27367,8324
OK,31124,8287
OR,25396,9037
PA,34570,11356
RI,36804,11446
SC,31366,8274
SD,29470,9719
TN,26754,7625
TX,41085,8523
UT,26272,8697
VA,25878,8160
VT,19571,11787
WA,30125,9273
WI,23176,8590
WV,18551,7863
WY,26415,11256
