providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,14464,9649
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,17766,10242
CONEY ISLAND HOSPITAL,330196,15538,10023
INTERFAITH MEDICAL CENTER,330397,22162,10133
KINGS COUNTY HOSPITAL CENTER,330202,15967,11244
KINGSBROOK JEWISH MEDICAL CENTER,330201,28522,7843
LONG ISLAND COLLEGE HOSPITAL,330152,24253,9402
LUTHERAN MEDICAL CENTER,330306,13823,9842
MAIMONIDES MEDICAL CENTER,330194,30827,9984
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,16156,7536
NEW YORK METHODIST HOSPITAL,330236,18913,8663
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,14253,10572
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,15325,10627
WYCKOFF HEIGHTS MEDICAL CENTER,330221,19907,9471
