providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,33476,23614
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,38158,24049
CONEY ISLAND HOSPITAL,330196,29546,26118
INTERFAITH MEDICAL CENTER,330397,50286,25189
KINGS COUNTY HOSPITAL CENTER,330202,31968,27324
KINGSBROOK JEWISH MEDICAL CENTER,330201,61338,18749
LONG ISLAND COLLEGE HOSPITAL,330152,61624,23574
LUTHERAN MEDICAL CENTER,330306,29160,23017
MAIMONIDES MEDICAL CENTER,330194,86348,27795
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,28637,18181
NEW YORK METHODIST HOSPITAL,330236,40892,20700
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,39116,26822
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,23211,25345
WYCKOFF HEIGHTS MEDICAL CENTER,330221,39551,22505
