providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,17952,10213
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,17227,10611
CONEY ISLAND HOSPITAL,330196,16292,11191
INTERFAITH MEDICAL CENTER,330397,22517,10628
KINGS COUNTY HOSPITAL CENTER,330202,14515,11772
KINGSBROOK JEWISH MEDICAL CENTER,330201,26794,8232
LONG ISLAND COLLEGE HOSPITAL,330152,29025,10016
LUTHERAN MEDICAL CENTER,330306,11469,9668
MAIMONIDES MEDICAL CENTER,330194,24659,9638
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,15449,7844
NEW YORK METHODIST HOSPITAL,330236,18799,9128
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,17166,11205
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,15856,11510
WYCKOFF HEIGHTS MEDICAL CENTER,330221,23800,9934
