providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,13303,8940
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,15364,9223
CONEY ISLAND HOSPITAL,330196,13067,8860
KINGS COUNTY HOSPITAL CENTER,330202,9658,9854
KINGSBROOK JEWISH MEDICAL CENTER,330201,21794,7159
LONG ISLAND COLLEGE HOSPITAL,330152,18242,8475
LUTHERAN MEDICAL CENTER,330306,10736,8729
MAIMONIDES MEDICAL CENTER,330194,24972,8852
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,16188,6899
NEW YORK METHODIST HOSPITAL,330236,15276,7915
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,10222,9141
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,11898,10095
WYCKOFF HEIGHTS MEDICAL CENTER,330221,21391,8891
