providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,27392,16501
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,25871,15687
CONEY ISLAND HOSPITAL,330196,20829,16941
INTERFAITH MEDICAL CENTER,330397,36445,19127
KINGS COUNTY HOSPITAL CENTER,330202,20671,18776
KINGSBROOK JEWISH MEDICAL CENTER,330201,41488,12781
LONG ISLAND COLLEGE HOSPITAL,330152,40966,16448
LUTHERAN MEDICAL CENTER,330306,24197,17568
MAIMONIDES MEDICAL CENTER,330194,59759,19517
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.,330019,19856,12898
NEW YORK METHODIST HOSPITAL,330236,28877,15332
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,25222,19053
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,18680,16771
WYCKOFF HEIGHTS MEDICAL CENTER,330221,32311,15696
