providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,26691,12920
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,27317,13465
CONEY ISLAND HOSPITAL,330196,15111,11983
INTERFAITH MEDICAL CENTER,330397,25742,13185
KINGS COUNTY HOSPITAL CENTER,330202,12495,14196
KINGSBROOK JEWISH MEDICAL CENTER,330201,41044,10363
LONG ISLAND COLLEGE HOSPITAL,330152,29030,12138
LUTHERAN MEDICAL CENTER,330306,18695,12470
MAIMONIDES MEDICAL CENTER,330194,37971,12616
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,16592,9835
NEW YORK METHODIST HOSPITAL,330236,24797,11048
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,21917,13523
WYCKOFF HEIGHTS MEDICAL CENTER,330221,28764,12456
