providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,25310,14316
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,29535,15045
CONEY ISLAND HOSPITAL,330196,27349,16070
KINGS COUNTY HOSPITAL CENTER,330202,26488,16175
KINGSBROOK JEWISH MEDICAL CENTER,330201,37714,11459
LONG ISLAND COLLEGE HOSPITAL,330152,37476,13700
LUTHERAN MEDICAL CENTER,330306,20055,13881
MAIMONIDES MEDICAL CENTER,330194,69576,16207
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,17716,11866
NEW YORK METHODIST HOSPITAL,330236,29225,12400
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,25504,15043
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,40295,19108
WYCKOFF HEIGHTS MEDICAL CENTER,330221,33731,13945
