providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,30744,15401
CONEY ISLAND HOSPITAL,330196,16182,15273
KINGS COUNTY HOSPITAL CENTER,330202,23818,17878
KINGSBROOK JEWISH MEDICAL CENTER,330201,38962,12245
LONG ISLAND COLLEGE HOSPITAL,330152,21941,13952
LUTHERAN MEDICAL CENTER,330306,17644,15189
MAIMONIDES MEDICAL CENTER,330194,73516,18697
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,21142,11876
NEW YORK METHODIST HOSPITAL,330236,23015,13622
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,24952,18262
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,14478,16643
