providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,43344,20610
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,31421,21150
CONEY ISLAND HOSPITAL,330196,26543,21328
INTERFAITH MEDICAL CENTER,330397,45976,22157
KINGS COUNTY HOSPITAL CENTER,330202,16042,23914
KINGSBROOK JEWISH MEDICAL CENTER,330201,56276,17398
LONG ISLAND COLLEGE HOSPITAL,330152,50933,21926
LUTHERAN MEDICAL CENTER,330306,34039,22210
MAIMONIDES MEDICAL CENTER,330194,104833,28664
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,25140,16182
NEW YORK METHODIST HOSPITAL,330236,39633,19175
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,114717,61177
WYCKOFF HEIGHTS MEDICAL CENTER,330221,81580,26502
