providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,17814,13514
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,23634,14554
CONEY ISLAND HOSPITAL,330196,22494,19258
INTERFAITH MEDICAL CENTER,330397,21825,14097
KINGS COUNTY HOSPITAL CENTER,330202,29887,17234
KINGSBROOK JEWISH MEDICAL CENTER,330201,39972,11303
LONG ISLAND COLLEGE HOSPITAL,330152,48453,14879
LUTHERAN MEDICAL CENTER,330306,24672,15413
MAIMONIDES MEDICAL CENTER,330194,50131,15234
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,17435,10448
NEW YORK METHODIST HOSPITAL,330236,21297,12019
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,13988,14102
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,20640,14898
WYCKOFF HEIGHTS MEDICAL CENTER,330221,20974,13285
