providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,26696,26238
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,39644,27583
CONEY ISLAND HOSPITAL,330196,25628,28611
KINGS COUNTY HOSPITAL CENTER,330202,26065,31318
KINGSBROOK JEWISH MEDICAL CENTER,330201,86259,22448
LONG ISLAND COLLEGE HOSPITAL,330152,58744,25867
LUTHERAN MEDICAL CENTER,330306,37407,27434
MAIMONIDES MEDICAL CENTER,330194,97328,32659
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,27335,21594
NEW YORK METHODIST HOSPITAL,330236,41805,25285
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,42730,29664
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,24298,28229
WYCKOFF HEIGHTS MEDICAL CENTER,330221,42792,25844
