providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,109071,67637
CONEY ISLAND HOSPITAL,330196,66430,73011
INTERFAITH MEDICAL CENTER,330397,121018,67387
KINGS COUNTY HOSPITAL CENTER,330202,45545,62659
KINGSBROOK JEWISH MEDICAL CENTER,330201,121502,49921
LUTHERAN MEDICAL CENTER,330306,80830,64971
MAIMONIDES MEDICAL CENTER,330194,199424,77368
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,70291,53193
NEW YORK METHODIST HOSPITAL,330236,93289,59991
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,95855,71457
WYCKOFF HEIGHTS MEDICAL CENTER,330221,91984,62042
