providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,37166,21930
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,39382,19618
CONEY ISLAND HOSPITAL,330196,29794,23475
KINGS COUNTY HOSPITAL CENTER,330202,25610,21831
KINGSBROOK JEWISH MEDICAL CENTER,330201,41734,14587
LONG ISLAND COLLEGE HOSPITAL,330152,35097,16910
LUTHERAN MEDICAL CENTER,330306,23880,17956
MAIMONIDES MEDICAL CENTER,330194,72548,21937
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,25889,13448
NEW YORK METHODIST HOSPITAL,330236,26978,15708
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,28530,19524
WYCKOFF HEIGHTS MEDICAL CENTER,330221,39817,17273
