providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,27388,19774
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,32058,21080
CONEY ISLAND HOSPITAL,330196,32774,20701
INTERFAITH MEDICAL CENTER,330397,33871,20899
KINGS COUNTY HOSPITAL CENTER,330202,28453,23514
KINGSBROOK JEWISH MEDICAL CENTER,330201,48215,15564
LONG ISLAND COLLEGE HOSPITAL,330152,32657,18308
LUTHERAN MEDICAL CENTER,330306,37457,20903
MAIMONIDES MEDICAL CENTER,330194,82819,24403
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,29793,15588
NEW YORK METHODIST HOSPITAL,330236,29662,17702
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,22553,20843
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,18365,21036
WYCKOFF HEIGHTS MEDICAL CENTER,330221,33414,18538
