providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,15592,7491
CONEY ISLAND HOSPITAL,330196,7283,6985
KINGSBROOK JEWISH MEDICAL CENTER,330201,18635,5825
LUTHERAN MEDICAL CENTER,330306,10310,7202
MAIMONIDES MEDICAL CENTER,330194,36085,7916
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,9826,5613
NEW YORK METHODIST HOSPITAL,330236,13392,6388
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,8456,7460
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,8182,7913
WYCKOFF HEIGHTS MEDICAL CENTER,330221,13491,7036
