providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,18530,7862
ADVOCATE TRINITY HOSPITAL,140048,17722,6376
HOLY CROSS HOSPITAL,140133,19405,5646
JACKSON PARK HOSPITAL,140177,34411,8035
JOHN H STROGER JR HOSPITAL,140124,9082,8712
LORETTO HOSPITAL,140083,8080,6784
LOUIS A WEISS MEMORIAL HOSPITAL,140082,18781,6697
MERCY HOSPITAL AND MEDICAL CENTER,140158,15402,7195
METHODIST HOSPITAL OF CHICAGO,140197,15589,6383
MT SINAI HOSPITAL MEDICAL CENTER,140018,22357,8235
NORTHWESTERN MEMORIAL HOSPITAL,140281,22722,6738
NORWEGIAN-AMERICAN HOSPITAL,140206,18222,7336
OUR LADY OF THE RESURRECTION MED CTR,140251,22178,5526
RESURRECTION MEDICAL CENTER,140117,23340,5387
ROSELAND COMMUNITY HOSPITAL,140068,26466,6652
RUSH UNIVERSITY MEDICAL CENTER,140119,21187,8195
SACRED HEART HOSPITAL,140151,21687,7159
SAINT ANTHONY HOSPITAL,140095,23961,6983
SAINT JOSEPH HOSPITAL,140224,23541,7144
SOUTH SHORE HOSPITAL,140181,19245,6104
ST BERNARD HOSPITAL,140103,13867,7075
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,21141,7014
SWEDISH COVENANT HOSPITAL,140114,25514,6104
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,42264,9247
THOREK MEMORIAL HOSPITAL,140115,13403,6456
UNIVERSITY OF ILLINOIS HOSPITAL,140150,31052,12404
