providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,47066,13231
LOUIS A WEISS MEMORIAL HOSPITAL,140082,34826,11851
MERCY HOSPITAL AND MEDICAL CENTER,140158,21282,12157
NORTHWESTERN MEMORIAL HOSPITAL,140281,50600,13072
OUR LADY OF THE RESURRECTION MED CTR,140251,39747,9297
RESURRECTION MEDICAL CENTER,140117,42132,9575
RUSH UNIVERSITY MEDICAL CENTER,140119,46274,15381
SAINT JOSEPH HOSPITAL,140224,37243,11189
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,57444,13401
SWEDISH COVENANT HOSPITAL,140114,49720,12487
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,51796,13138
