providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,25300,8135
ADVOCATE TRINITY HOSPITAL,140048,20632,6091
HOLY CROSS HOSPITAL,140133,19848,5888
JACKSON PARK HOSPITAL,140177,28765,7476
JOHN H STROGER JR HOSPITAL,140124,14309,9402
LORETTO HOSPITAL,140083,11344,7081
LOUIS A WEISS MEMORIAL HOSPITAL,140082,19043,6940
MERCY HOSPITAL AND MEDICAL CENTER,140158,12854,7623
MT SINAI HOSPITAL MEDICAL CENTER,140018,18936,8585
NORTHWESTERN MEMORIAL HOSPITAL,140281,22345,7293
NORWEGIAN-AMERICAN HOSPITAL,140206,28619,7668
OUR LADY OF THE RESURRECTION MED CTR,140251,26050,5404
RESURRECTION MEDICAL CENTER,140117,30873,5537
ROSELAND COMMUNITY HOSPITAL,140068,29410,6955
RUSH UNIVERSITY MEDICAL CENTER,140119,18283,7774
SAINT ANTHONY HOSPITAL,140095,26116,7079
SAINT JOSEPH HOSPITAL,140224,19621,7782
SOUTH SHORE HOSPITAL,140181,20707,6371
ST BERNARD HOSPITAL,140103,13932,7350
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,24272,7303
SWEDISH COVENANT HOSPITAL,140114,36397,6448
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,39165,8827
THOREK MEMORIAL HOSPITAL,140115,13534,6667
UNIVERSITY OF ILLINOIS HOSPITAL,140150,21644,10320
