providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,44182,13857
ADVOCATE TRINITY HOSPITAL,140048,31594,10460
HOLY CROSS HOSPITAL,140133,27549,8921
JACKSON PARK HOSPITAL,140177,40543,11627
JOHN H STROGER JR HOSPITAL,140124,13794,11760
LORETTO HOSPITAL,140083,11584,7528
LOUIS A WEISS MEMORIAL HOSPITAL,140082,34485,11017
MERCY HOSPITAL AND MEDICAL CENTER,140158,24103,12862
METHODIST HOSPITAL OF CHICAGO,140197,17403,7608
MT SINAI HOSPITAL MEDICAL CENTER,140018,35241,13558
NORTHWESTERN MEMORIAL HOSPITAL,140281,55378,14425
NORWEGIAN-AMERICAN HOSPITAL,140206,26737,9715
OUR LADY OF THE RESURRECTION MED CTR,140251,41738,10197
PROVIDENT HOSPITAL OF CHICAGO,140300,6965,6702
RESURRECTION MEDICAL CENTER,140117,45113,10683
ROSELAND COMMUNITY HOSPITAL,140068,30860,8466
RUSH UNIVERSITY MEDICAL CENTER,140119,45717,14584
SACRED HEART HOSPITAL,140151,17809,7390
SAINT ANTHONY HOSPITAL,140095,30737,9673
SAINT JOSEPH HOSPITAL,140224,38638,12042
SOUTH SHORE HOSPITAL,140181,26547,8667
ST BERNARD HOSPITAL,140103,19306,9723
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,45610,12656
SWEDISH COVENANT HOSPITAL,140114,56739,12767
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,67873,16767
THOREK MEMORIAL HOSPITAL,140115,19227,9535
UNIVERSITY OF ILLINOIS HOSPITAL,140150,42411,17707
