providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,22991,6590
ADVOCATE TRINITY HOSPITAL,140048,13004,5061
HOLY CROSS HOSPITAL,140133,15076,4816
JACKSON PARK HOSPITAL,140177,18142,6061
LOUIS A WEISS MEMORIAL HOSPITAL,140082,20625,7533
MERCY HOSPITAL AND MEDICAL CENTER,140158,10813,6589
METHODIST HOSPITAL OF CHICAGO,140197,14298,5519
MT SINAI HOSPITAL MEDICAL CENTER,140018,21421,7082
NORTHWESTERN MEMORIAL HOSPITAL,140281,21456,5769
NORWEGIAN-AMERICAN HOSPITAL,140206,15439,6324
OUR LADY OF THE RESURRECTION MED CTR,140251,25717,4381
RESURRECTION MEDICAL CENTER,140117,15418,4488
RUSH UNIVERSITY MEDICAL CENTER,140119,23998,7184
SACRED HEART HOSPITAL,140151,14814,6091
SAINT JOSEPH HOSPITAL,140224,20538,5777
SOUTH SHORE HOSPITAL,140181,16613,5287
ST BERNARD HOSPITAL,140103,13763,6163
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,28430,6172
SWEDISH COVENANT HOSPITAL,140114,27167,5142
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,38419,7571
THOREK MEMORIAL HOSPITAL,140115,13577,5983
UNIVERSITY OF ILLINOIS HOSPITAL,140150,19182,9918
