providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,25156,7490
ADVOCATE TRINITY HOSPITAL,140048,19080,5716
HOLY CROSS HOSPITAL,140133,19439,5272
JACKSON PARK HOSPITAL,140177,23541,7527
JOHN H STROGER JR HOSPITAL,140124,12902,8586
LOUIS A WEISS MEMORIAL HOSPITAL,140082,20920,6099
MERCY HOSPITAL AND MEDICAL CENTER,140158,12256,6823
MT SINAI HOSPITAL MEDICAL CENTER,140018,19901,7445
NORTHWESTERN MEMORIAL HOSPITAL,140281,34770,8417
OUR LADY OF THE RESURRECTION MED CTR,140251,24974,4746
RESURRECTION MEDICAL CENTER,140117,24752,4941
ROSELAND COMMUNITY HOSPITAL,140068,30536,6254
RUSH UNIVERSITY MEDICAL CENTER,140119,24072,7861
SAINT ANTHONY HOSPITAL,140095,21479,6505
SAINT JOSEPH HOSPITAL,140224,20400,6423
SOUTH SHORE HOSPITAL,140181,15672,5565
ST BERNARD HOSPITAL,140103,11500,6561
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,26906,7076
SWEDISH COVENANT HOSPITAL,140114,28695,5623
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,30938,7438
THOREK MEMORIAL HOSPITAL,140115,14180,5933
