providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE TRINITY HOSPITAL,140048,20956,4297
HOLY CROSS HOSPITAL,140133,15294,4644
LOUIS A WEISS MEMORIAL HOSPITAL,140082,18734,4885
MERCY HOSPITAL AND MEDICAL CENTER,140158,10262,5258
NORTHWESTERN MEMORIAL HOSPITAL,140281,21500,4869
ROSELAND COMMUNITY HOSPITAL,140068,21262,4884
RUSH UNIVERSITY MEDICAL CENTER,140119,28267,6555
SACRED HEART HOSPITAL,140151,18136,5267
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,21268,5195
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,24629,6053
