providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,18300,6949
ADVOCATE TRINITY HOSPITAL,140048,20545,5456
HOLY CROSS HOSPITAL,140133,17495,5090
JOHN H STROGER JR HOSPITAL,140124,11587,8028
MERCY HOSPITAL AND MEDICAL CENTER,140158,11974,6393
NORTHWESTERN MEMORIAL HOSPITAL,140281,19058,5872
OUR LADY OF THE RESURRECTION MED CTR,140251,20722,4577
RESURRECTION MEDICAL CENTER,140117,20141,5148
SAINT ANTHONY HOSPITAL,140095,27955,6039
SAINT JOSEPH HOSPITAL,140224,21854,5919
SOUTH SHORE HOSPITAL,140181,26709,5605
ST BERNARD HOSPITAL,140103,16233,6415
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,22246,6341
SWEDISH COVENANT HOSPITAL,140114,21592,6706
UNIVERSITY OF ILLINOIS HOSPITAL,140150,22771,9158
