providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,32424,11994
MERCY HOSPITAL AND MEDICAL CENTER,140158,18206,11086
NORTHWESTERN MEMORIAL HOSPITAL,140281,34472,10307
OUR LADY OF THE RESURRECTION MED CTR,140251,28107,7673
RESURRECTION MEDICAL CENTER,140117,24850,8175
RUSH UNIVERSITY MEDICAL CENTER,140119,34713,14286
SAINT JOSEPH HOSPITAL,140224,23072,10062
SWEDISH COVENANT HOSPITAL,140114,41984,9870
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,32612,14293
UNIVERSITY OF ILLINOIS HOSPITAL,140150,31816,15882
