providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,28876,11006
ADVOCATE TRINITY HOSPITAL,140048,24570,7092
HOLY CROSS HOSPITAL,140133,25614,8326
JOHN H STROGER JR HOSPITAL,140124,17359,12168
MERCY HOSPITAL AND MEDICAL CENTER,140158,15920,9756
MT SINAI HOSPITAL MEDICAL CENTER,140018,30756,10902
NORTHWESTERN MEMORIAL HOSPITAL,140281,24771,9315
RESURRECTION MEDICAL CENTER,140117,32672,7565
RUSH UNIVERSITY MEDICAL CENTER,140119,30922,10267
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,39978,11153
SWEDISH COVENANT HOSPITAL,140114,41961,8400
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,30671,11281
UNIVERSITY OF ILLINOIS HOSPITAL,140150,26119,12334
