providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,29482,11158
ADVOCATE TRINITY HOSPITAL,140048,30852,8742
HOLY CROSS HOSPITAL,140133,21704,8245
JACKSON PARK HOSPITAL,140177,36394,9623
JOHN H STROGER JR HOSPITAL,140124,16226,12970
LOUIS A WEISS MEMORIAL HOSPITAL,140082,29654,9479
MERCY HOSPITAL AND MEDICAL CENTER,140158,17793,10407
MT SINAI HOSPITAL MEDICAL CENTER,140018,31321,11765
NORTHWESTERN MEMORIAL HOSPITAL,140281,51784,11429
OUR LADY OF THE RESURRECTION MED CTR,140251,39401,9507
RESURRECTION MEDICAL CENTER,140117,38066,7854
RUSH UNIVERSITY MEDICAL CENTER,140119,42058,12174
SAINT JOSEPH HOSPITAL,140224,31320,8989
SOUTH SHORE HOSPITAL,140181,31464,8997
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,41040,10471
SWEDISH COVENANT HOSPITAL,140114,43568,8996
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,52434,11992
UNIVERSITY OF ILLINOIS HOSPITAL,140150,52805,16378
