providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,45806,16761
ADVOCATE TRINITY HOSPITAL,140048,49250,13751
HOLY CROSS HOSPITAL,140133,34953,11059
LOUIS A WEISS MEMORIAL HOSPITAL,140082,46444,14923
MERCY HOSPITAL AND MEDICAL CENTER,140158,43215,16765
MT SINAI HOSPITAL MEDICAL CENTER,140018,49171,18798
NORTHWESTERN MEMORIAL HOSPITAL,140281,88931,21386
OUR LADY OF THE RESURRECTION MED CTR,140251,47378,11834
RESURRECTION MEDICAL CENTER,140117,50250,12020
ROSELAND COMMUNITY HOSPITAL,140068,66448,15492
RUSH UNIVERSITY MEDICAL CENTER,140119,64341,18722
SAINT JOSEPH HOSPITAL,140224,49418,14842
SOUTH SHORE HOSPITAL,140181,35669,13543
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,81164,16272
SWEDISH COVENANT HOSPITAL,140114,72273,14294
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,69018,17932
