providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE TRINITY HOSPITAL,140048,114405,47696
HOLY CROSS HOSPITAL,140133,108331,40156
JACKSON PARK HOSPITAL,140177,153515,48890
LOUIS A WEISS MEMORIAL HOSPITAL,140082,89038,37920
MERCY HOSPITAL AND MEDICAL CENTER,140158,75255,49135
MT SINAI HOSPITAL MEDICAL CENTER,140018,145096,57446
NORTHWESTERN MEMORIAL HOSPITAL,140281,274590,64994
OUR LADY OF THE RESURRECTION MED CTR,140251,123056,32505
RESURRECTION MEDICAL CENTER,140117,130737,35094
SAINT JOSEPH HOSPITAL,140224,188311,51768
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,124258,45907
SWEDISH COVENANT HOSPITAL,140114,202207,50124
THOREK MEMORIAL HOSPITAL,140115,53084,38484
