providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,24114,7369
ADVOCATE TRINITY HOSPITAL,140048,18069,5536
HOLY CROSS HOSPITAL,140133,20028,5103
JACKSON PARK HOSPITAL,140177,27299,6397
JOHN H STROGER JR HOSPITAL,140124,9298,7826
LORETTO HOSPITAL,140083,12485,6151
LOUIS A WEISS MEMORIAL HOSPITAL,140082,19100,7028
MERCY HOSPITAL AND MEDICAL CENTER,140158,12888,6982
METHODIST HOSPITAL OF CHICAGO,140197,12057,5467
MT SINAI HOSPITAL MEDICAL CENTER,140018,18340,7468
NORTHWESTERN MEMORIAL HOSPITAL,140281,17648,5782
NORWEGIAN-AMERICAN HOSPITAL,140206,19531,6650
OUR LADY OF THE RESURRECTION MED CTR,140251,21637,5045
PROVIDENT HOSPITAL OF CHICAGO,140300,5788,5997
RESURRECTION MEDICAL CENTER,140117,23669,5534
ROSELAND COMMUNITY HOSPITAL,140068,24124,6039
RUSH UNIVERSITY MEDICAL CENTER,140119,14992,6827
SACRED HEART HOSPITAL,140151,15156,6454
SAINT ANTHONY HOSPITAL,140095,21520,6111
SAINT JOSEPH HOSPITAL,140224,19653,5859
SOUTH SHORE HOSPITAL,140181,18029,5564
ST BERNARD HOSPITAL,140103,15161,6624
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,27910,6382
SWEDISH COVENANT HOSPITAL,140114,28333,5953
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,23219,9117
THOREK MEMORIAL HOSPITAL,140115,10400,5856
UNIVERSITY OF ILLINOIS HOSPITAL,140150,19472,9628
