providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE TRINITY HOSPITAL,140048,100256,40614
HOLY CROSS HOSPITAL,140133,80039,35463
JACKSON PARK HOSPITAL,140177,127839,43346
LOUIS A WEISS MEMORIAL HOSPITAL,140082,110172,40353
MERCY HOSPITAL AND MEDICAL CENTER,140158,69738,46017
NORTHWESTERN MEMORIAL HOSPITAL,140281,232661,62594
OUR LADY OF THE RESURRECTION MED CTR,140251,103414,31557
RESURRECTION MEDICAL CENTER,140117,131681,34727
RUSH UNIVERSITY MEDICAL CENTER,140119,166321,53673
SAINT JOSEPH HOSPITAL,140224,125030,44336
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,168914,49214
SWEDISH COVENANT HOSPITAL,140114,166349,38192
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,256204,60126
THOREK MEMORIAL HOSPITAL,140115,65948,38909
