providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,25279,8367
ADVOCATE TRINITY HOSPITAL,140048,21423,6067
HOLY CROSS HOSPITAL,140133,15663,5794
JACKSON PARK HOSPITAL,140177,25453,8394
LORETTO HOSPITAL,140083,9697,6935
LOUIS A WEISS MEMORIAL HOSPITAL,140082,22445,6723
MERCY HOSPITAL AND MEDICAL CENTER,140158,12916,7253
MT SINAI HOSPITAL MEDICAL CENTER,140018,18801,7942
NORTHWESTERN MEMORIAL HOSPITAL,140281,24535,7281
OUR LADY OF THE RESURRECTION MED CTR,140251,24793,8378
RESURRECTION MEDICAL CENTER,140117,23281,5293
RUSH UNIVERSITY MEDICAL CENTER,140119,23985,9123
SACRED HEART HOSPITAL,140151,11986,7345
SAINT JOSEPH HOSPITAL,140224,24518,7068
ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,140180,29156,7321
SWEDISH COVENANT HOSPITAL,140114,27355,6726
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,31565,8829
THOREK MEMORIAL HOSPITAL,140115,12939,6615
UNIVERSITY OF ILLINOIS HOSPITAL,140150,21443,10973
