providerName,providerNationalID,avgCoveredCharges,averagePayments
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,40154,12144
ADVOCATE TRINITY HOSPITAL,140048,21794,9227
HOLY CROSS HOSPITAL,140133,36303,9298
LOUIS A WEISS MEMORIAL HOSPITAL,140082,28159,10369
MERCY HOSPITAL AND MEDICAL CENTER,140158,19294,11319
MT SINAI HOSPITAL MEDICAL CENTER,140018,22425,12864
NORTHWESTERN MEMORIAL HOSPITAL,140281,41429,10500
OUR LADY OF THE RESURRECTION MED CTR,140251,28530,8131
RESURRECTION MEDICAL CENTER,140117,30469,8961
RUSH UNIVERSITY MEDICAL CENTER,140119,52465,14279
SAINT JOSEPH HOSPITAL,140224,23326,10268
SWEDISH COVENANT HOSPITAL,140114,52092,9684
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,85441,17763
THOREK MEMORIAL HOSPITAL,140115,26164,10167
UNIVERSITY OF ILLINOIS HOSPITAL,140150,45878,17942
