providerName,providerNationalID,avgCoveredCharges,averagePayments
COMMUNITY HOSPITAL,370203,64106,16016
DEACONESS HOSPITAL,370032,30615,6661
INTEGRIS BAPTIST MEDICAL CENTER,370028,60958,12135
INTEGRIS SOUTHWEST MEDICAL CENTER,370106,45553,8768
MCBRIDE CLINIC ORTHOPEDIC HOSPITAL  L L C,370222,32620,11476
MERCY HEALTH CENTER INC,370013,29669,8310
NORTHWEST SURGICAL HOSPITAL,370192,49985,10749
O U MEDICAL CENTER,370093,52000,13803
OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP,370212,28195,10922
OKLAHOMA HEART HOSPITAL,370215,33567,8266
OKLAHOMA HEART HOSPITAL SOUTH,370234,28683,6514
OKLAHOMA SPINE HOSPITAL,370206,40814,10879
ORTHOPEDIC HOSPITAL,370220,87167,23818
ST ANTHONY HOSPITAL,370037,29892,12025
SURGICAL HOSPITAL OF OKLAHOMA,370201,51604,13519
