providerName,providerNationalID,avgCoveredCharges,averagePayments
BAPTIST HOSPITAL OF MIAMI INC,100008,34450,6292
DOUGLAS GARDENS HOSPITAL,100277,4964,4429
JACKSON MEMORIAL HOSPITAL,100022,23100,10339
KENDALL REGIONAL MEDICAL CENTER,100209,33380,6057
MERCY HOSPITAL INC,100061,25353,5692
METROPOLITAN HOSPITAL OF MIAMI,100076,23593,6515
NORTH SHORE MEDICAL CENTER,100029,37074,5798
UNIVERSITY OF MIAMI HOSPITAL,100009,42596,6140
WEST KENDALL BAPTIST HOSPITAL,100314,43756,4461
WESTCHESTER GENERAL HOSPITAL,100284,16635,7455
