providerName,providerNationalID,avgCoveredCharges,averagePayments
BAPTIST HOSPITAL OF MIAMI INC,100008,73282,12858
DOUGLAS GARDENS HOSPITAL,100277,4964,4429
JACKSON MEMORIAL HOSPITAL,100022,48293,18477
KENDALL REGIONAL MEDICAL CENTER,100209,67753,11763
MERCY HOSPITAL INC,100061,46463,9747
METROPOLITAN HOSPITAL OF MIAMI,100076,31349,9083
NORTH SHORE MEDICAL CENTER,100029,61124,10321
UNIVERSITY OF MIAMI HOSPITAL,100009,71033,11982
WEST KENDALL BAPTIST HOSPITAL,100314,56955,8470
WESTCHESTER GENERAL HOSPITAL,100284,24684,10128
