city,avgCoveredCharges,averagePayments
BECKLEY,10571,5793
BLUEFIELD,10990,5915
BRIDGEPORT,9239,6005
BUCKHANNON,10568,6448
CHARLESTON,18011,6531
ELKINS,10456,5358
FAIRMONT,12774,5535
GLEN DALE,9382,5465
HUNTINGTON,13505,6552
HURRICANE,16172,7177
LOGAN,19693,6747
MARTINSBURG,13432,6501
MORGANTOWN,14947,6759
NEW MARTINSVILL,12547,5319
PARKERSBURG,12629,5271
POINT PLEASANT,14911,5067
PRINCETON,10752,5612
RIPLEY,13006,5892
RONCEVERTE,10399,6124
SOUTH CHARLESTO,18488,5547
SUMMERSVILLE,9774,5866
WEIRTON,10598,5009
WESTON,9721,5778
WHEELING,11246,5603
WILLIAMSON,13063,6102
