city,avgCoveredCharges,averagePayments
BECKLEY,19088,7876
BLUEFIELD,15192,7325
BRIDGEPORT,18042,8303
BUCKHANNON,11482,5556
CHARLESTON,24681,9169
ELKINS,11469,6244
FAIRMONT,16201,6854
GLEN DALE,10321,5215
HUNTINGTON,23941,9794
HURRICANE,14342,5587
LOGAN,25144,8055
MARTINSBURG,15952,8312
MORGANTOWN,26223,10293
NEW MARTINSVILL,12838,5045
PARKERSBURG,22105,7790
POINT PLEASANT,13751,4919
PRINCETON,14901,7076
RIPLEY,15097,6233
RONCEVERTE,12863,7131
SOUTH CHARLESTO,21034,7187
SUMMERSVILLE,10716,6570
WEIRTON,14104,6386
WELCH,7979,9874
WESTON,10263,5146
WHEELING,17921,8084
WILLIAMSON,12337,6374
