01,Neurosurgery
02,Neurology
04,Thoracic Surgery
05,Vascular Surgery
06,Infectious Diseases
07,Ophthalmology
08,Otolaryngology
09,Plastic Surgery
10,Pulmonary Medicine
11,Oncology
13,General Surgery
14,Gastroenterology
15,Oral Surgery
16,Orthopedics
17,Rheumatology
18,Dermatology
19,Gynecology
20,Endocrinology
21,Urology
22,Nephrology
23,Obstetrics
25,Neonatology
26,Newborn
27,Hematology
28,Psychiatry
29,Substance Abuse
30,Adverse Effects
31,Burns
32,Rehabilitation
33,Signs & Symptoms
34,Other
35,Hiv Infection
37,Back & Spine
51,Cardiac Surgery
52,Electrophysiology/Devices
53,Invasive Cardiology
54,General Cardiology
55,Transplant Surgery
56,Vascular Diseases
