city,avgCoveredCharges,averagePayments
AMERICAN FORK,19141,7061
BEAVER,11409,8886
BOUNTIFUL,28627,8145
BRIGHAM CITY,44618,14886
CEDAR CITY,12676,7063
LAYTON,21500,7282
LOGAN,19064,8606
MURRAY,28576,11280
NORTH LOGAN,23004,7768
OGDEN,25199,8980
OREM,24159,6938
PARK CITY,35216,15770
PAYSON,19415,6765
PRICE,17856,7722
PROVO,26849,10370
RICHFIELD,10647,5716
RIVERTON,17681,7496
ROOSEVELT,10646,7657
SALT LAKE CITY,28852,11403
SANDY,15496,6798
ST GEORGE,21847,10130
TOOELE,17692,6707
VERNAL,20076,9168
WEST JORDAN,27724,9181
