city,avgCoveredCharges,averagePayments
ANNAPOLIS,12710,11994
BALTIMORE,15739,14842
BEL AIR,12208,11535
BERLIN,9813,9246
BETHESDA,12141,11451
CHESTERTOWN,10490,9866
CHEVERLY,17533,16498
CLINTON,12365,11636
COLUMBIA,11658,10983
CRISFIELD,12908,12133
CUMBERLAND,13660,12859
EASTON,11980,11275
ELKTON,10533,9911
FORT WASHINGTON,8744,8233
FREDERICK,12307,11593
GLEN BURNIE,12958,12211
HAGERSTOWN,12656,11943
HAVRE DE GRACE,9325,8788
LA PLATA,10577,9964
LANHAM,12830,12079
LAUREL,14409,13559
LEONARDTOWN,8785,8264
OAKLAND,8773,8255
OLNEY,10536,9926
PRINCE FREDERIC,9758,9202
RANDALLSTOWN,13004,12243
ROCKVILLE,13202,12446
SALISBURY,13280,12536
SILVER SPRING,13579,12804
TAKOMA PARK,14109,13281
TOWSON,12381,11664
WESTMINSTER,13771,12988
