providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,50055,65469,14603
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,50008,65174,12385
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,50047,76160,16843
CHINESE HOSPITAL,50407,27365,8142
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,50076,40223,17049
LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,50668,29924,11082
SAINT FRANCIS MEMORIAL HOSPITAL,50152,88888,15148
SAN FRANCISCO GENERAL HOSPITAL,50228,61630,16367
ST MARY'S MEDICAL CENTER,50457,81659,14389
UCSF MEDICAL CENTER,50454,90165,21916
