city,avgCoveredCharges,averagePayments
ALBANY,44544,14460
ASHLAND,51025,13750
BEND,50146,14294
CLACKAMAS,28633,13969
COOS BAY,48302,19050
CORVALLIS,41117,14251
GRANTS PASS,38930,13133
GRESHAM,37572,15158
HILLSBORO,37109,15054
KLAMATH FALLS,41014,16751
MCMINNVILLE,55622,13861
MEDFORD,46697,13968
MILWAUKIE,34301,16657
NEWBERG,35048,14927
ONTARIO,36395,13856
OREGON CITY,33004,13587
PORTLAND,41275,16900
REDMOND,47860,22804
SALEM,33649,15532
SILVERTON,37877,16941
SPRINGFIELD,42328,14791
STAYTON,30734,17621
THE DALLES,34948,16824
TUALATIN,34890,13342
