city,avgCoveredCharges,averagePayments
ALBANY,16730,6710
ASHLAND,41578,14088
BEND,30543,10049
CLACKAMAS,13499,9087
COOS BAY,24678,10661
CORVALLIS,32017,10783
EUGENE,16825,6877
GRANTS PASS,26505,8276
GRESHAM,22884,7575
HILLSBORO,25840,8269
KLAMATH FALLS,32405,11761
MCMINNVILLE,32155,9573
MEDFORD,32070,9979
MILWAUKIE,14754,8517
NEWBERG,15566,7782
ONTARIO,18308,7338
OREGON CITY,17589,7820
PORTLAND,29283,12334
REDMOND,17523,10065
SALEM,25741,10377
SILVERTON,18817,8959
SPRINGFIELD,26195,10085
STAYTON,15024,9103
THE DALLES,16515,8961
TUALATIN,24583,8767
