city,avgCoveredCharges,averagePayments
ALBANY,35172,12204
ASHLAND,26863,12879
BEND,50256,13550
CLACKAMAS,15494,12773
COOS BAY,33579,16015
CORVALLIS,42071,12496
EUGENE,16015,11452
GRANTS PASS,36564,11771
GRESHAM,32610,12525
HILLSBORO,29296,12797
KLAMATH FALLS,40565,15472
MCMINNVILLE,30381,12288
MEDFORD,42904,13346
MILWAUKIE,25027,14350
NEWBERG,26740,12913
ONTARIO,26752,11292
OREGON CITY,21332,11316
PORTLAND,37262,15580
REDMOND,29203,18048
SALEM,34690,14251
SPRINGFIELD,31535,12641
THE DALLES,22028,14862
TUALATIN,36266,11817
